Date,League,Season,Home Team,Away Team,Home Goals,Away Goals,Venue,Result,Home Win,Away Win,Draw,Total Goals,Goal Difference,Home Points,Away Points
2026-07-11,Kwanza Heroes League,2026,Maili Saba Combined,Arusha Combined,1,3,Not listed,Away,0,1,0,4,-2,0,3
2026-07-11,Kwanza Heroes League,2026,Maridadi FC,Kesogoni FC,2,2,Not listed,Draw,0,0,1,4,0,1,1
2026-07-05,FKF Division Two Northern Zone Pool A,2025/2026,Denmak FC Maganyakulo,Inter Dabaso,3,0,Not listed,Home,1,0,0,3,3,3,0
2026-07-05,FKF Division Two Northern Zone Pool A,2025/2026,Mombasa Allstars,Samba Boyz FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-07-05,FKF Division Two Northern Zone Pool A,2025/2026,Redstars FC,Junior FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-07-05,FKF Division Two Northern Zone Pool A,2025/2026,Wayzata Boys,Sparki Youth,4,0,Not listed,Home,1,0,0,4,4,3,0
2026-07-05,FKF Division Two Northern Zone Pool A,2025/2026,Young Bulls,Ziwani Youth,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-07-04,FKF Division Two Northern Zone Pool A,2025/2026,Good Hope SA,Samba Boyz FC,5,0,Not listed,Home,1,0,0,5,5,3,0
2026-07-04,FKF Division Two Northern Zone Pool A,2025/2026,Mbungoni United,Junior FC,4,0,Not listed,Home,1,0,0,4,4,3,0
2026-07-04,FKF Division Two Northern Zone Pool A,2025/2026,RWAFA FC,Inter Dabaso,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-07-04,FKF Division Two Northern Zone Pool A,2025/2026,Samburu Lions,Beach Bay FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-06-28,FKF Division Two Northern Zone Pool A,2025/2026,Beach Bay FC,Mombasa Allstars,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-06-28,FKF Division Two Northern Zone Pool A,2025/2026,Kisumundogo UTD,Wayzata Boys,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-06-28,FKF Division Two Northern Zone Pool A,2025/2026,Mbungoni United,Redstars FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-06-28,FKF Division Two Northern Zone Pool A,2025/2026,Young Bulls,Samburu Lions,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-06-27,FKF Division Two Northern Zone Pool A,2025/2026,Matanomane Youth,Samburu Lions,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-06-27,FKF Division Two Northern Zone Pool A,2025/2026,Samba Boyz FC,Denmak FC Maganyakulo,2,4,Not listed,Away,0,1,0,6,-2,0,3
2026-06-27,FKF Division Two Northern Zone Pool A,2025/2026,Yanga FC KE,Wayzata Boys,1,2,Not listed,Away,0,1,0,3,-1,0,3
2026-06-27,FKF Division Two Northern Zone Pool A,2025/2026,Ziwani Youth,RWAFA FC,0,3,Not listed,Away,0,1,0,3,-3,0,3
2026-06-14,FKF Division One,2025/2026,FC Kona Rangers,GFE 105,1,2,Not listed,Away,0,1,0,3,-1,0,3
2026-06-14,FKF Division One,2025/2026,Kipchimchim Group FC,Bungoma Superstars,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-06-14,FKF Division One,2025/2026,Suna West FC,St Josephs Youth.,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-06-14,FKF Division One,2025/2026,Vickers FC,Amani Youth,3,0,Not listed,Home,1,0,0,3,3,3,0
2026-06-13,FKF Division One,2025/2026,Bumbani Stars,Zetech Titans,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-06-13,FKF Division One,2025/2026,Congo Boyz,KAPA FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-06-13,FKF Division One,2025/2026,Green Berets,Gituru FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-06-13,FKF Division One,2025/2026,Kahawa United,Royal Fresh,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-06-13,FKF Division One,2025/2026,Kibra United,Spitfire FC,2,3,Not listed,Away,0,1,0,5,-1,0,3
2026-06-13,FKF Division One,2025/2026,SS Assad,Strathmore University,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-06-13,FKF Division One,2025/2026,Teita Estate,Al-Azizia FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-05-30,FKF Division Two Northern Zone Pool A,2025/2026,Beach Bay FC,Kisumundogo UTD,1,4,Not listed,Away,0,1,0,5,-3,0,3
2026-05-30,FKF Division Two Northern Zone Pool A,2025/2026,Wayzata Boys,RWAFA FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-05-30,FKF Division Two Northern Zone Pool A,2025/2026,Young Bulls,Sparki Youth,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-24,Machakos County League,2025/2026,Celtic TYSA,Mwanga FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-05-24,Machakos County League,2025/2026,Kabaa Young Cobras,Ivovoani Vipers,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-05-24,Machakos County League,2025/2026,Mackenzie FC,Kikombi wazito fc,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-23,Kenyan Premier League,2025/2026,KCB FC,Posta Rangers,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-05-23,Kenyan Premier League,2025/2026,Kariobangi Sharks,Kakamega Homeboyz,2,2,Not listed,Draw,0,0,1,4,0,1,1
2026-05-23,Kenyan Premier League,2025/2026,Ulinzi Stars FC,Mathare UTD,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-20,Kenyan Premier League,2025/2026,Bandari FC,APS Bomet FC,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-05-17,FKF Division One,2025/2026,Mfalme FC,TBM Health FC,1,2,Not listed,Away,0,1,0,3,-1,0,3
2026-05-17,FKF Division One,2025/2026,Zoo Kericho,Napetet Titans,7,0,Not listed,Home,1,0,0,7,7,3,0
2026-05-17,FKF Women Premier League,2025/2026,Gideon Starlets,Trinity Starlets FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-05-17,FKF Women Premier League,2025/2026,Kayole Starlets,Zetech Sparks WFC,4,1,Not listed,Home,1,0,0,5,3,3,0
2026-05-17,FKF Women Premier League,2025/2026,Kenya Police Bullets,Madira Soccer Assassins,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-17,FKF Women Premier League,2025/2026,Ulinzi Starlets FC,Bungoma Queens FC,7,1,Not listed,Home,1,0,0,8,6,3,0
2026-05-17,Kenyan Premier League,2025/2026,Bidco United,Shabana FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-05-17,Kenyan Premier League,2025/2026,Muranga SEAL,Gor Mahia FC,1,3,Not listed,Away,0,1,0,4,-2,0,3
2026-05-17,Machakos County League,2025/2026,Ivovoani Vipers,Mackenzie FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-17,Machakos County League,2025/2026,Masii United,FC Mosko,1,2,Not listed,Away,0,1,0,3,-1,0,3
2026-05-17,Machakos County League,2025/2026,Mwanga FC,Matetani FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-13,Kenyan Premier League,2025/2026,Mara Sugar FC,Shabana FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-13,Kenyan Premier League,2025/2026,Ulinzi Stars FC,AFC Leopards,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-05-10,FKF Division One,2025/2026,KAPA FC,Zetech Titans,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-10,FKF Division One,2025/2026,Kibra United,Bumbani Stars,3,1,Not listed,Home,1,0,0,4,2,3,0
2026-05-10,FKF Division One,2025/2026,Royal Fresh,Simba Apparel,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-10,FKF Division One,2025/2026,SS Assad,Green Berets,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-05-10,FKF Women Premier League,2025/2026,Madira Soccer Assassins,Kayole Starlets,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-05-10,FKF Women Premier League,2025/2026,Trinity Starlets FC,Kenya Police Bullets,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-05-10,FKF Women Premier League,2025/2026,Vihiga Queens FC,Gideon Starlets,3,2,Not listed,Home,1,0,0,5,1,3,0
2026-05-10,FKF Women Premier League,2025/2026,Zetech Sparks WFC,Kibera Soccer Women,0,3,Not listed,Away,0,1,0,3,-3,0,3
2026-05-10,Machakos County League,2025/2026,Celtic TYSA,Ivovoani Vipers,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-05-10,Machakos County League,2025/2026,FC Mosko,Mwanga FC,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-05-10,Machakos County League,2025/2026,Matetani FC,Masii United,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-09,FKF Division One,2025/2026,Kahawa United,Teita Estate,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-05-09,FKF Division One,2025/2026,Spitfire FC,Gituru FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-05-09,FKF Division One,2025/2026,Strathmore University,Al-Azizia FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-03,Machakos County League,2025/2026,Ivovoani Vipers,Matetani FC,5,0,Not listed,Home,1,0,0,5,5,3,0
