Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,11/08/23,Arsenal,Nott'm Forest,2,1,H
E0,12/08/23,Man Utd,Wolves,1,0,H
E0,12/08/23,Chelsea,Liverpool,1,1,D
E0,19/08/23,Nott'm Forest,Man City,1,2,A
E0,19/08/23,Wolves,Brighton,1,4,A
E0,20/08/23,Liverpool,Bournemouth,3,1,H
E0,26/08/23,Man City,Fulham,5,1,H
E0,26/08/23,Arsenal,Man Utd,3,1,H
E0,27/08/23,Brighton,West Ham,1,1,D
E0,02/09/23,Fulham,Luton,2,1,H
E0,03/09/23,Man Utd,Arsenal,1,3,A
E0,15/10/23,Man City,Man Utd,3,0,H
E0,29/10/23,Man Utd,Man City,0,3,A
